aep,Is_holiday1,Is_holiday2,Is_Weekend1,Is_Weekend2,sin_month,cos_month,sin_week,cos_week,sin_hour,cos_hour,sin_wintert,cos_wintert,sin_springt,cos_springt,sin_summert,cos_summert,sin_fallt,cos_fallt,sin_year_dayt
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.0,1.0,-0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.017213356155834685,0.9998518392091162
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.0,1.0,-1.0,-1.8369701987210297e-16,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.017213356155834685,0.9998518392091162
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.0,1.0,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.017213356155834685,0.9998518392091162
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.0,1.0,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.017213356155834685,0.9998518392091162
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.0,1.0,-0.7071067811865477,0.7071067811865474,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.017213356155834685,0.9998518392091162
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.0,1.0,-0.5000000000000004,0.8660254037844384,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.017213356155834685,0.9998518392091162
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.0,1.0,-0.25881904510252157,0.9659258262890681,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.017213356155834685,0.9998518392091162
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.03442161162274574,0.9994074007397048
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.25881904510252074,0.9659258262890683,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.03442161162274574,0.9994074007397048
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.03442161162274574,0.9994074007397048
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.7071067811865476,0.7071067811865476,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.03442161162274574,0.9994074007397048
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.03442161162274574,0.9994074007397048
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.03442161162274574,0.9994074007397048
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.03442161162274574,0.9994074007397048
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.03442161162274574,0.9994074007397048
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.03442161162274574,0.9994074007397048
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.7071067811865476,-0.7071067811865475,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.03442161162274574,0.9994074007397048
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.49999999999999994,-0.8660254037844387,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.03442161162274574,0.9994074007397048
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,0.258819045102521,-0.9659258262890682,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.03442161162274574,0.9994074007397048
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.03442161162274574,0.9994074007397048
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,-0.2588190451025208,-0.9659258262890683,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.03442161162274574,0.9994074007397048
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,-0.4999999999999997,-0.8660254037844388,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.03442161162274574,0.9994074007397048
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,-0.7071067811865471,-0.7071067811865479,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.03442161162274574,0.9994074007397048
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,-0.8660254037844385,-0.5000000000000004,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.03442161162274574,0.9994074007397048
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,-0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.03442161162274574,0.9994074007397048
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.03442161162274574,0.9994074007397048
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.03442161162274574,0.9994074007397048
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.03442161162274574,0.9994074007397048
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,-0.7071067811865477,0.7071067811865474,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.03442161162274574,0.9994074007397048
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,-0.5000000000000004,0.8660254037844384,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.03442161162274574,0.9994074007397048
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844386,0.5000000000000001,-0.25881904510252157,0.9659258262890681,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.03442161162274574,0.9994074007397048
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,0.0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.051619667223253764,0.998666816288476
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,0.25881904510252074,0.9659258262890683,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.051619667223253764,0.998666816288476
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.051619667223253764,0.998666816288476
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,0.7071067811865476,0.7071067811865476,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.051619667223253764,0.998666816288476
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.051619667223253764,0.998666816288476
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.051619667223253764,0.998666816288476
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.051619667223253764,0.998666816288476
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.051619667223253764,0.998666816288476
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.051619667223253764,0.998666816288476
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,0.7071067811865476,-0.7071067811865475,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.051619667223253764,0.998666816288476
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,0.49999999999999994,-0.8660254037844387,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.051619667223253764,0.998666816288476
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,0.258819045102521,-0.9659258262890682,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.051619667223253764,0.998666816288476
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.051619667223253764,0.998666816288476
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,-0.2588190451025208,-0.9659258262890683,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.051619667223253764,0.998666816288476
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,-0.4999999999999997,-0.8660254037844388,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.051619667223253764,0.998666816288476
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,-0.7071067811865471,-0.7071067811865479,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.051619667223253764,0.998666816288476
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,-0.8660254037844385,-0.5000000000000004,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.051619667223253764,0.998666816288476
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,-0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.051619667223253764,0.998666816288476
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.051619667223253764,0.998666816288476
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.051619667223253764,0.998666816288476
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.051619667223253764,0.998666816288476
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,-0.7071067811865477,0.7071067811865474,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.051619667223253764,0.998666816288476
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,-0.5000000000000004,0.8660254037844384,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.051619667223253764,0.998666816288476
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,0.8660254037844387,-0.4999999999999998,-0.25881904510252157,0.9659258262890681,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.051619667223253764,0.998666816288476
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,0.0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.06880242680231986,0.9976303053065857
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,0.25881904510252074,0.9659258262890683,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.06880242680231986,0.9976303053065857
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.06880242680231986,0.9976303053065857
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,0.7071067811865476,0.7071067811865476,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.06880242680231986,0.9976303053065857
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.06880242680231986,0.9976303053065857
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.06880242680231986,0.9976303053065857
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.06880242680231986,0.9976303053065857
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.06880242680231986,0.9976303053065857
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.06880242680231986,0.9976303053065857
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,0.7071067811865476,-0.7071067811865475,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.06880242680231986,0.9976303053065857
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,0.49999999999999994,-0.8660254037844387,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.06880242680231986,0.9976303053065857
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,0.258819045102521,-0.9659258262890682,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.06880242680231986,0.9976303053065857
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.06880242680231986,0.9976303053065857
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,-0.2588190451025208,-0.9659258262890683,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.06880242680231986,0.9976303053065857
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,-0.4999999999999997,-0.8660254037844388,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.06880242680231986,0.9976303053065857
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,-0.7071067811865471,-0.7071067811865479,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.06880242680231986,0.9976303053065857
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,-0.8660254037844385,-0.5000000000000004,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.06880242680231986,0.9976303053065857
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,-0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.06880242680231986,0.9976303053065857
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.06880242680231986,0.9976303053065857
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.06880242680231986,0.9976303053065857
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.06880242680231986,0.9976303053065857
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,-0.7071067811865477,0.7071067811865474,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.06880242680231986,0.9976303053065857
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.06880242680231986,0.9976303053065857
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,1.2246467991473532e-16,-1.0,-0.25881904510252157,0.9659258262890681,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.06880242680231986,0.9976303053065857
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,-0.8660254037844385,-0.5000000000000004,0.0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.08596479873744647,0.9962981749346078
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,-0.8660254037844385,-0.5000000000000004,0.25881904510252074,0.9659258262890683,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.08596479873744647,0.9962981749346078
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.08596479873744647,0.9962981749346078
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,-0.8660254037844385,-0.5000000000000004,0.7071067811865476,0.7071067811865476,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.08596479873744647,0.9962981749346078
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,-0.8660254037844385,-0.5000000000000004,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.08596479873744647,0.9962981749346078
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,-0.8660254037844385,-0.5000000000000004,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.08596479873744647,0.9962981749346078
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,-0.8660254037844385,-0.5000000000000004,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.08596479873744647,0.9962981749346078
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,-0.8660254037844385,-0.5000000000000004,0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.08596479873744647,0.9962981749346078
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,-0.8660254037844385,-0.5000000000000004,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.08596479873744647,0.9962981749346078
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,-0.8660254037844385,-0.5000000000000004,0.7071067811865476,-0.7071067811865475,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.08596479873744647,0.9962981749346078
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,-0.8660254037844387,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.08596479873744647,0.9962981749346078
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,-0.8660254037844385,-0.5000000000000004,0.258819045102521,-0.9659258262890682,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.08596479873744647,0.9962981749346078
1.0,1.0,1.0,0.0,0.49999999999999994,0.8660254037844387,-0.8660254037844385,-0.5000000000000004,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,0.0,1.0,0.0,1.0,0.0,1.0,0.08596479873744647,0.9962981749346078
